trial_number,time_elapsed,latitude,longitude,depth
0,0,38.4833363,20.2812767,1367.0466885765566
0,1,38.4833363,20.2812767,1367.0466885765566
0,2,38.4833363,20.2812767,1367.0466885765566
0,3,38.4833363,20.2812767,1367.0466885765566
0,4,38.4833363,20.2812767,1367.0466885765566
0,5,38.4833363,20.2812767,1367.0466885765566
0,6,38.4833363,20.2812767,1367.0466885765566
0,7,38.4833363,20.2812767,1367.0466885765566
0,8,38.4833363,20.2812767,1367.0466885765566
0,9,38.4833363,20.2812767,1367.0466885765566
0,10,38.4833363,20.2812767,1367.0466885765566
0,11,38.4833363,20.2812767,1367.0466885765566
0,12,38.4833363,20.2812767,1367.0466885765566
0,13,38.4833363,20.2812767,1367.0466885765566
0,14,38.4833363,20.2812767,1367.0466885765566
0,15,38.4833363,20.2812767,1367.0466885765566
0,16,38.4833363,20.2812767,1367.0466885765566
0,17,38.4833363,20.2812767,1367.0466885765566
0,18,38.4833363,20.2812767,1367.0466885765566
0,19,38.4833363,20.2812767,1367.0466885765566
0,20,38.4833363,20.2812767,1367.0466885765566
0,21,38.4833363,20.2812767,1367.0466885765566
0,22,38.4833363,20.2812767,1367.0466885765566
0,23,38.4833363,20.2812767,1367.0466885765566
0,24,38.4833363,20.2812767,1367.0466885765566
0,25,38.4833363,20.2812767,1367.0466885765566
0,26,38.4833363,20.2812767,1367.0466885765566
0,27,38.4833363,20.2812767,1367.0466885765566
0,28,38.4833363,20.2812767,1367.0466885765566
0,29,38.4833363,20.2812767,1367.0466885765566
0,30,38.4833363,20.2812767,1367.0466885765566
0,31,38.4833363,20.2812767,1367.0466885765566
0,32,38.4833363,20.2812767,1367.0466885765566
0,33,38.4833363,20.2812767,1367.0466885765566
0,34,38.4833363,20.2812767,1367.0466885765566
0,35,38.4833363,20.2812767,1367.0466885765566
0,36,38.4833363,20.2812767,1367.0466885765566
0,37,38.4833363,20.2812767,1367.0466885765566
0,38,38.4833363,20.2812767,1367.0466885765566
0,39,38.4833363,20.2812767,1367.0466885765566
0,40,38.4833363,20.2812767,1367.0466885765566
0,41,38.4833363,20.2812767,1367.0466885765566
0,42,38.4833363,20.2812767,1367.0466885765566
0,43,38.4833363,20.2812767,1367.0466885765566
