trial_number,time_elapsed,latitude,longitude,depth
0,0,39.6922016,19.4186879,609.188686421235
0,1,39.6922016,19.4186879,609.188686421235
0,2,39.6922016,19.4186879,609.188686421235
0,3,39.6922016,19.4186879,609.188686421235
0,4,39.6922016,19.4186879,609.188686421235
0,5,39.6922016,19.4186879,609.188686421235
0,6,39.6922016,19.4186879,609.188686421235
0,7,39.6922016,19.4186879,609.188686421235
0,8,39.6922016,19.4186879,609.188686421235
0,9,39.6922016,19.4186879,609.188686421235
0,10,39.6922016,19.4186879,609.188686421235
0,11,39.6922016,19.4186879,609.188686421235
0,12,39.6922016,19.4186879,609.188686421235
0,13,39.6922016,19.4186879,609.188686421235
0,14,39.6922016,19.4186879,609.188686421235
0,15,39.6922016,19.4186879,609.188686421235
0,16,39.6922016,19.4186879,609.188686421235
0,17,39.6922016,19.4186879,609.188686421235
0,18,39.6922016,19.4186879,609.188686421235
0,19,39.6922016,19.4186879,609.188686421235
0,20,39.6922016,19.4186879,609.188686421235
0,21,39.6922016,19.4186879,609.188686421235
0,22,39.6922016,19.4186879,609.188686421235
0,23,39.6922016,19.4186879,609.188686421235
0,24,39.6922016,19.4186879,609.188686421235
0,25,39.6922016,19.4186879,609.188686421235
0,26,39.6922016,19.4186879,609.188686421235
0,27,39.6922016,19.4186879,609.188686421235
0,28,39.6922016,19.4186879,609.188686421235
0,29,39.6922016,19.4186879,609.188686421235
0,30,39.6922016,19.4186879,609.188686421235
0,31,39.6922016,19.4186879,609.188686421235
0,32,39.6922016,19.4186879,609.188686421235
0,33,39.6922016,19.4186879,609.188686421235
0,34,39.6922016,19.4186879,609.188686421235
0,35,39.6922016,19.4186879,609.188686421235
0,36,39.6922016,19.4186879,609.188686421235
0,37,39.6922016,19.4186879,609.188686421235
0,38,39.6922016,19.4186879,609.188686421235
0,39,39.6922016,19.4186879,609.188686421235
0,40,39.6922016,19.4186879,609.188686421235
0,41,39.6922016,19.4186879,609.188686421235
0,42,39.6922016,19.4186879,609.188686421235
0,43,39.6922016,19.4186879,609.188686421235
0,44,39.6922016,19.4186879,609.188686421235
0,45,39.6922016,19.4186879,609.188686421235
0,46,39.6922016,19.4186879,609.188686421235
0,47,39.6922016,19.4186879,609.188686421235
0,48,39.6922016,19.4186879,609.188686421235
0,49,39.6922016,19.4186879,609.188686421235
0,50,39.6922016,19.4186879,609.188686421235
0,51,39.6922016,19.4186879,609.188686421235
0,52,39.6922016,19.4186879,609.188686421235
0,53,39.6922016,19.4186879,609.188686421235
0,54,39.6922016,19.4186879,609.188686421235
0,55,39.6922016,19.4186879,609.188686421235
0,56,39.6922016,19.4186879,609.188686421235
0,57,39.6922016,19.4186879,609.188686421235
0,58,39.6922016,19.4186879,609.188686421235
0,59,39.6922016,19.4186879,609.188686421235
0,60,39.6922016,19.4186879,609.188686421235
0,61,39.6922016,19.4186879,609.188686421235
0,62,39.6922016,19.4186879,609.188686421235
0,63,39.6922016,19.4186879,609.188686421235
0,64,39.6922016,19.4186879,609.188686421235
0,65,39.6922016,19.4186879,609.188686421235
0,66,39.6922016,19.4186879,609.188686421235
0,67,39.6922016,19.4186879,609.188686421235
0,68,39.6922016,19.4186879,609.188686421235
0,69,39.6922016,19.4186879,609.188686421235
0,70,39.6922016,19.4186879,609.188686421235
0,71,39.6922016,19.4186879,609.188686421235
0,72,39.6922016,19.4186879,609.188686421235
0,73,39.6922016,19.4186879,609.188686421235
0,74,39.6922016,19.4186879,609.188686421235
0,75,39.6922016,19.4186879,609.188686421235
0,76,39.6922016,19.4186879,609.188686421235
0,77,39.6922016,19.4186879,609.188686421235
0,78,39.6922016,19.4186879,609.188686421235
0,79,39.6922016,19.4186879,609.188686421235
0,80,39.6922016,19.4186879,609.188686421235
0,81,39.6922016,19.4186879,609.188686421235
0,82,39.6922016,19.4186879,609.188686421235
0,83,39.6922016,19.4186879,609.188686421235
0,84,39.6922016,19.4186879,609.188686421235
0,85,39.6922016,19.4186879,609.188686421235
0,86,39.6922016,19.4186879,609.188686421235
0,87,39.6922016,19.4186879,609.188686421235
0,88,39.6922016,19.4186879,609.188686421235
0,89,39.6922016,19.4186879,609.188686421235
0,90,39.6922016,19.4186879,609.188686421235
0,91,39.6922016,19.4186879,609.188686421235
0,92,39.6922016,19.4186879,609.188686421235
0,93,39.6922016,19.4186879,609.188686421235
0,94,39.6922016,19.4186879,609.188686421235
0,95,39.6922016,19.4186879,609.188686421235
0,96,39.6922016,19.4186879,609.188686421235
0,97,39.6922016,19.4186879,609.188686421235
0,98,39.6922016,19.4186879,609.188686421235
0,99,39.6922016,19.4186879,609.188686421235
0,100,39.6922016,19.4186879,609.188686421235
0,101,39.6922016,19.4186879,609.188686421235
0,102,39.6922016,19.4186879,609.188686421235
0,103,39.6922016,19.4186879,609.188686421235
0,104,39.6922016,19.4186879,609.188686421235
0,105,39.6922016,19.4186879,609.188686421235
0,106,39.6922016,19.4186879,609.188686421235
0,107,39.6922016,19.4186879,609.188686421235
0,108,39.6922016,19.4186879,609.188686421235
0,109,39.6922016,19.4186879,609.188686421235
0,110,39.6922016,19.4186879,609.188686421235
0,111,39.6922016,19.4186879,609.188686421235
0,112,39.6922016,19.4186879,609.188686421235
0,113,39.6922016,19.4186879,609.188686421235
0,114,39.6922016,19.4186879,609.188686421235
0,115,39.6922016,19.4186879,609.188686421235
0,116,39.6922016,19.4186879,609.188686421235
0,117,39.6922016,19.4186879,609.188686421235
0,118,39.6922016,19.4186879,609.188686421235
0,119,39.6922016,19.4186879,609.188686421235
